Date,Open,High,Low,Close,Volume
2022-03-18,4.33,4.53,4.24,4.39,560600
2022-03-21,4.29,4.53,4.23,4.52,506000
2022-03-22,4.52,4.75,4.45,4.65,835300
2022-03-23,4.56,4.675,4.39,4.63,580900
2022-03-24,4.65,4.74,4.51,4.73,506600
2022-03-25,4.77,4.828,4.43,4.62,415500
2022-03-28,4.55,4.69,4.421,4.63,325100
2022-03-29,4.6,4.765,4.57,4.7,574400
2022-03-30,4.67,4.79,4.5,4.59,316100
2022-03-31,4.56,4.59,4.375,4.56,416000
2022-04-01,4.12,4.64,3.48,4.61,1506400
2022-04-04,4.61,5.08,4.582,5.03,1056500
2022-04-05,4.97,5.043,4.79,4.9,494900
2022-04-06,4.76,4.87,4.24,4.54,601100
2022-04-07,4.49,4.82,4.165,4.46,504000
2022-04-08,4.42,4.42,3.995,4.02,396700
2022-04-11,3.96,4.05,3.74,3.98,332500
2022-04-12,4.09,4.21,3.85,3.89,360700
2022-04-13,3.94,4.25,3.86,4.09,492900
2022-04-14,4.11,4.24,3.87,3.88,461000
2022-04-18,3.87,3.89,3.415,3.69,598400
2022-04-19,3.96,4.1,3.72,3.87,495700
2022-04-20,3.9,3.93,3.72,3.81,697500
2022-04-21,3.9,4.07,3.395,3.4,497500
2022-04-22,3.4,3.48,3.11,3.22,435000
2022-04-25,3.15,3.2,3.06,3.15,723300
2022-04-26,3.11,3.17,2.945,2.99,461900
2022-04-27,2.99,3.163,2.92,2.95,410200
2022-04-28,3.0,3.155,2.91,3.1,540800
2022-04-29,3.03,3.16,2.935,2.97,475200
2022-05-02,3.02,3.11,2.89,3.09,647400
2022-05-03,3.08,3.27,2.975,2.99,659200
2022-05-04,2.99,3.11,2.685,2.93,827200
2022-05-05,2.9,2.971,2.62,2.72,454100
2022-05-06,2.7,2.81,2.479,2.61,763500
2022-05-09,2.52,2.57,2.32,2.51,511900
2022-05-10,2.55,2.58,2.31,2.43,717600
2022-05-11,2.39,2.5,2.16,2.21,740100
2022-05-12,2.17,2.84,2.15,2.59,4630600
2022-05-13,2.81,2.94,2.56,2.89,1960400
2022-05-16,2.96,3.06,2.49,2.49,1316500
2022-05-17,2.26,2.605,2.01,2.55,2077400
2022-05-18,2.49,2.57,2.24,2.35,830000
2022-05-19,2.29,2.57,2.29,2.52,944400
2022-05-20,2.56,2.57,2.25,2.48,1396500
2022-05-23,2.42,2.58,2.299,2.52,1301800
2022-05-24,2.44,2.55,2.26,2.41,3279900
2022-05-25,2.43,2.6,2.33,2.49,1756700
2022-05-26,2.52,2.77,2.52,2.74,5240700
2022-05-27,2.8,3.05,2.76,2.87,2539300
2022-05-31,2.86,2.88,2.67,2.67,1998800
2022-06-01,2.74,2.74,2.36,2.37,680600
2022-06-02,2.37,2.47,2.25,2.25,1304800
2022-06-03,2.17,2.23,2.13,2.21,1214400
2022-06-06,2.22,2.25,2.1,2.16,1185700
2022-06-07,2.15,2.205,2.11,2.15,1732500
2022-06-08,2.14,2.97,2.11,2.62,4874700
2022-06-09,2.57,2.573,2.31,2.33,1186600
2022-06-10,2.24,2.31,2.13,2.16,761100
2022-06-13,2.26,2.26,1.99,2.01,907400
2022-06-14,2.02,2.12,1.925,1.96,643300
2022-06-15,1.96,2.2,1.93,2.18,855700
2022-06-16,2.1,2.2,2.0,2.14,1095100
2022-06-17,2.16,2.25,2.08,2.1,1059700
2022-06-21,2.21,2.39,2.09,2.3,3515200
2022-06-22,2.28,2.41,2.23,2.26,1371000
2022-06-23,2.28,2.318,2.15,2.22,919600
2022-06-24,2.3,2.42,2.21,2.27,5400200
2022-06-27,2.2,2.24,1.985,2.09,1184200
2022-06-28,2.05,2.125,1.88,1.9,1168200
2022-06-29,1.88,1.98,1.76,1.84,984600
2022-06-30,1.76,1.82,1.68,1.76,1500800
2022-07-01,1.76,1.83,1.64,1.76,730400
2022-07-05,1.69,1.85,1.605,1.85,1227600
2022-07-06,1.82,1.88,1.78,1.8,575400
2022-07-07,1.91,1.94,1.8,1.9,497200
2022-07-08,1.85,1.919,1.81,1.86,432300
2022-07-11,1.82,1.83,1.67,1.73,601900
2022-07-12,1.74,1.78,1.6,1.65,541100
2022-07-13,1.61,1.66,1.54,1.65,596400
2022-07-14,1.6,1.64,1.54,1.6,580300
2022-07-15,1.66,1.785,1.591,1.72,714100
2022-07-18,1.78,1.965,1.75,1.79,494400
2022-07-19,1.84,1.975,1.75,1.89,336500
2022-07-20,1.9,2.16,1.89,2.13,604200
2022-07-21,2.15,2.24,2.08,2.23,443600
2022-07-22,2.22,2.25,1.95,1.98,306900
2022-07-25,1.97,1.97,1.86,1.89,109100
2022-07-26,2.0,2.04,1.725,1.79,635600
2022-07-27,1.84,1.855,1.73,1.82,394300
2022-07-28,1.8,1.855,1.759,1.8,164300
2022-07-29,1.79,1.83,1.76,1.81,260900
2022-08-01,1.8,1.85,1.74,1.84,167200
2022-08-02,1.79,1.87,1.79,1.86,316800
2022-08-03,1.9,1.93,1.86,1.87,228100
2022-08-04,1.87,1.89,1.82,1.86,239400
2022-08-05,1.85,1.92,1.82,1.87,378400
2022-08-08,1.91,1.92,1.83,1.86,376500
2022-08-09,1.86,1.88,1.75,1.75,371800
2022-08-10,1.8,1.87,1.5,1.85,1055200
2022-08-11,1.88,2.125,1.83,2.08,695100
2022-08-12,2.0,2.05,1.53,1.75,2164100
2022-08-15,1.67,1.88,1.66,1.83,620400
2022-08-16,1.84,1.85,1.694,1.77,453600
2022-08-17,1.77,1.785,1.68,1.7,363500
2022-08-18,1.7,1.76,1.645,1.74,550900
2022-08-19,1.67,1.7,1.56,1.56,810000
2022-08-22,1.56,1.59,1.49,1.49,504300
2022-08-23,1.49,1.579,1.43,1.5,458200
2022-08-24,1.51,1.55,1.45,1.46,393400
2022-08-25,1.47,1.49,1.404,1.44,323200
2022-08-26,1.44,1.44,1.29,1.3,458200
2022-08-29,1.29,1.35,1.29,1.32,299500
2022-08-30,1.34,1.35,1.3,1.34,301000
2022-08-31,1.34,1.445,1.33,1.42,535100
2022-09-01,1.43,1.43,1.28,1.32,294800
2022-09-02,1.36,1.36,1.23,1.24,242700
2022-09-06,1.21,1.25,1.16,1.18,300700
2022-09-07,1.19,1.24,1.17,1.21,146900
2022-09-08,1.18,1.2,1.13,1.18,263500
2022-09-09,1.19,1.25,1.15,1.16,189600
2022-09-12,1.14,1.16,1.11,1.11,289700
2022-09-13,1.1,1.1,1.01,1.1,383500
2022-09-14,1.09,1.11,1.06,1.08,195100
2022-09-15,1.05,1.18,1.05,1.13,354500
2022-09-16,1.14,1.14,1.0,1.0,540800
2022-09-19,1.05,1.05,0.99,1.01,219000
2022-09-20,1.02,1.03,0.96,0.989,197200
2022-09-21,1.0,1.03,0.95,0.988,684100
